2025-05-07 16:38:12.972 | INFO | xarxes2025.clienthandler:_listen_rtsp_request:54 - [Session None]  request, CSeq 0, State INIT
2025-05-07 16:38:12.976 | ERROR | xarxes2025.helpers:send_response:112 - [Session N/A] Failed to send response: [Errno 32] Broken pipe
2025-05-07 16:38:12.975 | INFO | xarxes2025.clienthandler:_listen_rtsp_request:54 - [Session None]  request, CSeq 0, State INIT
2025-05-07 16:38:12.976 | ERROR | xarxes2025.helpers:send_response:112 - [Session N/A] Failed to send response: [Errno 32] Broken pipe
2025-05-07 16:38:12.977 | INFO | xarxes2025.clienthandler:_listen_rtsp_request:54 - [Session None]  request, CSeq 0, State INIT
2025-05-07 16:38:12.979 | ERROR | xarxes2025.helpers:send_response:112 - [Session N/A] Failed to send response: [Errno 32] Broken pipe
2025-05-07 16:38:12.979 | INFO | xarxes2025.clienthandler:_listen_rtsp_request:54 - [Session None]  request, CSeq 0, State INIT
2025-05-07 16:38:12.980 | ERROR | xarxes2025.helpers:send_response:112 - [Session N/A] Failed to send response: [Errno 32] Broken pipe
2025-05-07 16:38:12.980 | INFO | xarxes2025.clienthandler:_listen_rtsp_request:54 - [Session None]  request, CSeq 0, State INIT
2025-05-07 16:38:12.980 | ERROR | xarxes2025.helpers:send_response:112 - [Session N/A] Failed to send response: [Errno 32] Broken pipe
2025-05-07 16:38:12.980 | INFO | xarxes2025.clienthandler:_listen_rtsp_request:54 - [Session None]  request, CSeq 0, State INIT
2025-05-07 16:38:12.982 | ERROR | xarxes2025.helpers:send_response:112 - [Session N/A] Failed to send response: [Errno 32] Broken pipe
2025-05-07 16:38:12.982 | INFO | xarxes2025.clienthandler:_listen_rtsp_request:54 - [Session None]  request, CSeq 0, State INIT
2025-05-07 16:38:12.990 | INFO | xarxes2025.clienthandler:_listen_rtsp_request:54 - [Session None]  request, CSeq 0, State INIT
2025-05-07 16:38:12.996 | ERROR | xarxes2025.helpers:send_response:112 - [Session N/A] Failed to send response: [Errno 32] Broken pipe
2025-05-07 16:38:12.996 | INFO | xarxes2025.clienthandler:_listen_rtsp_request:54 - [Session None]  request, CSeq 0, State INIT
2025-05-07 16:38:12.996 | ERROR | xarxes2025.helpers:send_response:112 - [Session N/A] Failed to send response: [Errno 32] Broken pipe
2025-05-07 16:38:12.996 | INFO | xarxes2025.clienthandler:_listen_rtsp_request:54 - [Session None]  request, CSeq 0, State INIT
2025-05-07 16:38:12.996 | ERROR | xarxes2025.helpers:send_response:112 - [Session N/A] Failed to send response: [Errno 32] Broken pipe
2025-05-07 16:38:12.996 | INFO | xarxes2025.clienthandler:_listen_rtsp_request:54 - [Session None]  request, CSeq 0, State INIT
2025-05-07 16:38:12.996 | ERROR | xarxes2025.helpers:send_response:112 - [Session N/A] Failed to send response: [Errno 32] Broken pipe
